price,min_to_metro,floor,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,reg_ЗАО,reg_САО,reg_СВАО,reg_СЗАО,reg_ЦАО,reg_ЮАО,reg_ЮВАО,reg_ЮЗАО
52251760.0,7.0,14.0,2023.0,1.0,0.0,3.23,2.0,False,False,False,True,False,False,False,False
14900000.0,19.0,13.0,2024.0,1.0,0.0,3.0,2.0,False,False,True,False,False,False,False,False
29976267.0,11.0,22.0,2024.0,1.0,0.0,3.0,2.0,False,False,True,False,False,False,False,False
41320668.0,25.0,11.0,2023.0,1.0,0.0,3.15,2.0,False,False,False,False,False,True,False,False
31122705.0,19.0,8.0,2024.0,1.0,0.0,2.97,2.0,False,False,False,False,False,True,False,False
57600000.0,,14.0,2023.0,1.0,0.0,3.0,2.0,True,False,False,False,False,False,False,False
111060882.0,8.0,10.0,2013.0,1.0,1.0,3.15,2.0,False,False,False,False,True,False,False,False
29143191.0,9.0,8.0,2023.0,1.0,0.0,2.74,2.0,True,False,False,False,False,False,False,False
45340500.0,16.0,3.0,2023.0,1.0,1.0,3.24,2.0,False,False,False,True,False,False,False,False
74935640.0,6.0,8.0,2023.0,1.0,0.0,3.25,2.0,False,False,False,True,False,False,False,False
33444818.0,22.0,6.0,2023.0,1.0,0.0,3.0,2.0,False,False,False,False,False,True,False,False
24300000.0,18.0,5.0,2024.0,1.0,0.0,4.2,2.0,True,False,False,False,False,False,False,False
40811432.0,4.0,10.0,2024.0,1.0,1.0,3.0,2.0,False,False,False,False,True,False,False,False
16811680.0,5.0,5.0,2021.0,1.0,0.0,2.63,2.0,True,False,False,False,False,False,False,False
32354169.0,5.0,22.0,2024.0,1.0,0.0,3.17,2.0,False,False,False,False,False,False,False,True
32107152.0,5.0,11.0,2022.0,1.0,1.0,3.4,2.0,False,False,False,False,True,False,False,False
25066035.0,9.0,16.0,2022.0,1.0,0.0,,2.0,False,False,True,False,False,False,False,False
17423703.0,20.0,13.0,2021.0,1.0,0.0,2.79,2.0,False,False,True,False,False,False,False,False
48374600.0,,36.0,2019.0,1.0,0.0,3.1,2.0,False,False,False,False,True,False,False,False
33847838.0,22.0,26.0,2023.0,1.0,0.0,3.0,2.0,False,False,False,False,False,True,False,False
32701895.0,6.0,12.0,2022.0,1.0,0.0,3.12,2.0,True,False,False,False,False,False,False,False
28000000.0,15.0,3.0,2023.0,1.0,0.0,,2.0,False,False,False,True,False,False,False,False
13000000.0,5.0,12.0,2023.0,1.0,0.0,2.8,2.0,False,False,False,False,False,True,False,False
20004880.0,11.0,25.0,2023.0,1.0,0.0,2.62,2.0,True,False,False,False,False,False,False,False
31547360.0,16.0,14.0,2023.0,1.0,0.0,3.15,2.0,False,False,False,True,False,False,False,False
35955570.0,19.0,2.0,2023.0,1.0,0.0,3.0,2.0,False,False,True,False,False,False,False,False
62500000.0,27.0,14.0,2023.0,1.0,0.0,3.0,2.0,True,False,False,False,False,False,False,False
